City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
ust-kulom,RU,1643913043,61.6864,53.6902,11.97,97,100,3.56
maceio,BR,1643913043,-9.6658,-35.7353,89.04,58,20,14.97
dwarka,IN,1643913044,22.2394,68.9678,69.66,47,0,9.35
hay river,CA,1643913015,60.8156,-115.7999,-25.62,75,20,5.75
douentza,ML,1643913045,14.9951,-2.9517,75.92,11,0,7.52
port shepstone,ZA,1643913045,-30.7414,30.455,76.01,93,100,23.38
najran,SA,1643913046,17.4924,44.1277,63.25,30,10,1.77
concepcion,CL,1643913001,-36.827,-73.0498,69.51,65,54,10.78
solton,RU,1643913047,52.8429,86.4787,-3.28,100,99,1.66
port lincoln,AU,1643913047,-34.7333,135.8667,61.7,73,61,15.1
severo-yeniseyskiy,RU,1643913048,60.3725,93.0408,12.7,90,100,11.16
adrar,MR,1643913049,20.5022,-10.0711,70.47,12,0,10.11
petatlan,MX,1643913049,17.5167,-101.2667,85.8,39,0,5.57
cherskiy,RU,1643913050,68.75,161.3,-28.52,99,6,1.3
trairi,BR,1643912928,-3.2778,-39.2689,85.33,64,100,13.29
kieta,PG,1643913050,-6.2167,155.6333,77.52,90,100,6.89
kultuk,RU,1643913051,51.7208,103.6956,1.22,93,78,4.41
nevers,FR,1643913051,46.9167,3.3333,41.59,87,75,11.5
umm lajj,SA,1643913052,25.0213,37.2685,69.89,57,0,3.62
havre-saint-pierre,CA,1643913052,50.2334,-63.5986,30.56,86,100,26.46
talara,PE,1643913053,-4.5772,-81.2719,86.76,48,0,16.11
mutsu,JP,1643913053,41.2894,141.2169,24.01,82,92,13.49
carauari,BR,1643913053,-4.8828,-66.8958,83.23,77,93,4.7
filadelfia,US,1643913034,39.9523,-75.1638,48.22,90,100,0.0
antalaha,MG,1643913054,-14.9003,50.2788,77.58,83,100,5.32
hit,IQ,1643913055,33.6416,42.8251,57.29,32,0,12.28
taunggyi,MM,1643913055,20.7833,97.0333,47.41,62,4,0.67
champerico,GT,1643913056,14.3,-91.9167,91.94,57,5,9.44
reconquista,AR,1643913057,-29.15,-59.65,81.84,60,100,5.44
kupang,ID,1643913057,-10.1667,123.5833,77.92,88,100,10.4
acapulco,MX,1643912765,16.8634,-99.8901,85.82,54,0,3.44
daltenganj,IN,1643913058,24.0333,84.0667,61.5,60,37,4.03
robertsport,LR,1643913059,6.7533,-11.3686,80.62,80,1,10.85
souillac,MU,1643913059,-20.5167,57.5167,80.98,89,75,25.32
tabas,IR,1643913060,33.5959,56.9244,50.61,32,100,1.43
frederico westphalen,BR,1643913060,-27.3592,-53.3944,89.64,28,80,8.08
quimper,FR,1643913061,48.0,-4.1,49.03,81,100,3.44
nichinan,JP,1643913061,31.6,131.3667,42.64,82,81,5.73
pila,PL,1643913062,53.1515,16.7378,37.8,98,100,8.46
mulchen,CL,1643913062,-37.7167,-72.2333,88.56,23,48,5.95
livingston,GB,1643912764,55.9029,-3.5226,49.28,83,20,28.77
coihaique,CL,1643913017,-45.5752,-72.0662,72.21,52,75,8.05
saint-francois,FR,1643912981,46.4154,3.9054,44.04,87,0,6.91
pangnirtung,CA,1643913063,66.1451,-65.7125,1.4,85,100,17.27
marinette,US,1643912832,45.1,-87.6307,11.71,52,0,9.22
